Time (s),ECG
0.0,0.0
0.001000100010001,6.283772334522856e-05
0.002000200020002,0.00012567296546851691
0.003000300030003,0.00018850324524589883
0.004000400040004,0.0002513260817493523
0.005000500050005001,0.0003141389943447616
0.006000600060006,0.00037693950278986846
0.0070007000700070005,0.000439725127332207
0.008000800080008,0.0005024933888070201
0.009000900090009001,0.0005652418087351517
0.010001000100010001,0.0006279679094209128
0.011001100110011002,0.0006906692140499162
0.012001200120012,0.0007533432467868763
0.013001300130013,0.0008159875328733705
0.014001400140014001,0.0008785995987255578
0.015001500150015001,0.0009411769720318513
0.016001600160016,0.001003717181850541
0.017001700170017002,0.0010662177587073603
0.018001800180018002,0.0011286762346929974
0.019001900190019003,0.0011910901435605433
0.020002000200020003,0.0012534570208228748
0.021002100210021003,0.001315774403849967
0.022002200220022004,0.0013780398319661333
0.023002300230023004,0.0014402508465471886
0.024002400240024,0.0015024049911175306
0.025002500250025,0.0015644998114471367
0.026002600260026,0.0016265328556484726
0.027002700270027002,0.001688501674273307
0.028002800280028002,0.0017504038204094316
0.029002900290029002,0.0018122368497772811
0.030003000300030003,0.001873998320826447
0.031003100310031003,0.0019356857948320857
0.032003200320032,0.0019972968359912146
0.033003300330033,0.0020588290115188925
0.034003400340034004,0.002120279891744282
0.035003500350035,0.002181647050206585
0.036003600360036005,0.0022429280637508596
0.037003700370037,0.0023041205126236937
0.038003800380038005,0.002365221980568761
0.039003900390039,0.0024262300549222206
0.040004000400040006,0.002487142326707991
0.041004100410041,0.0025479563907328663
0.04200420042004201,0.002608669845681494
0.043004300430043,0.0026692802942111854
0.04400440044004401,0.002729785343046586
0.045004500450045004,0.002790182603074172
0.04600460046004601,0.0028504696894365877
0.047004700470047005,0.0029106442216268145
0.048004800480048,0.0029707038235821715
0.049004900490049005,0.0030306461237781315
0.05000500050005,0.0030904687553219663
0.051005100510051006,0.0031501693560462085
0.052005200520052,0.0032097455686019194
0.05300530053005301,0.0032691950405517767
